Componente,URLs
SCC 315,"https://untref.edu.ar/mundountref/cat/arte-cultura, https://untref.edu.ar/mundountref/inicio-ciclo-2018-muntref-inauguracion-muestras, https://untref.edu.ar/mundountref/el-flujo-de-la-cumbia-en-el-xirgu, https://untref.edu.ar/mundountref/vuelve-el-ciclo-de-musica-para-piano, https://untref.edu.ar/mundountref/muestra-homenaje-sacco, https://untref.edu.ar/mundountref/pelicula-untref-media-festival-cine-la-habana, https://untref.edu.ar/mundountref/talleres-muntref-centro-arte-contemporaneo, https://untref.edu.ar/mundountref/Inauguracion-Despues-de-babel, https://untref.edu.ar/mundountref/estreno-padres-e-hijos-estados-unidos-uruguay, https://untref.edu.ar/mundountref/galeria-de-obras-en-el-museo-nacional-de-bellas-artes, https://untref.edu.ar/mundountref/las-tecnologias-inmersivas-como-herramientas-colaborativas-en-el-arte, https://untref.edu.ar/mundountref/muntref-presenta-su-programacion-para-el-2024, https://untref.edu.ar/mundountref/se-acerca-la-decima-edicion-del-encuentro-internacional-neo-media-lab, https://untref.edu.ar/mundountref/Novedades-editoriales-eduntref-2018, https://untref.edu.ar/mundountref/se-estrena-linea-137, https://untref.edu.ar/mundountref/talleres-verano-muntref, https://untref.edu.ar/mundountref/la-xirgu-genero , https://untref.edu.ar/mundountref/princesa-del-futuro-xirgu, https://untref.edu.ar/mundountref/cierre-convocatoria-bienalsur-2019, https://untref.edu.ar/mundountref/iv-ciclo-iberoamericano-de-opera-contemporanea, https://untref.edu.ar/mundountref/estudiantes-artes-electronicas-muntref, https://untref.edu.ar/mundountref/propuestas-para-toda-la-familia-en-vacaciones, https://untref.edu.ar/mundountref/bienalsur-casa-del-bicentenario"
SCC 316,"https://untref.edu.ar/mundountref/claudia-valente-artes-electronicas-2019, https://untref.edu.ar/mundountref/tags/estacion-untref"
SCC 317,"https://untref.edu.ar/muntref/en/exhibition-files/a2016, https://untref.edu.ar/muntref/en/muestras/bernardi-roig-2"
SCC 318,"https://untref.edu.ar/mundountref/lanzaron-la-convocatoria-abierta-internacional-rumbo-a-bienalsur-2025, https://untref.edu.ar/mundountref/bienalsur-sexto-encuentro-virtual"
SCC 319,"https://untref.edu.ar/mundountref/trans-aural-estrategia-para-artistas-mantener-vinculos, https://untref.edu.ar/mundountref/estreno-del-documental-a-4-manos, https://untref.edu.ar/mundountref/soledad-villamil-presento-el-disco-que-grabo-en-el-xirgu"
SCC 320,"https://untref.edu.ar/muntref/en/exhibition-files/a2015, https://untref.edu.ar/muntref/en/muestras/victor-rebuffo-impresiones-de-un-hombre-moderno/"
SCC 321,"https://untref.edu.ar/talleres-y-seminarios, https://untref.edu.ar/investigacion-y-desarrollo"
SCC 322,https://untref.edu.ar/mundountref/inauguraciones-centro-arte-naturaleza
SCC 323,https://untref.edu.ar/mundountref/eligen-en-espana-documental-producido-por-untref
SCC 324,https://untref.edu.ar/events/ciclo-de-conferencias-migraciones-internacionales-3
SCC 325,https://untref.edu.ar/autoridades
SCC 326,"https://untref.edu.ar/mundountref/lanzamiento-revista-aquilea-cuarto-numero, https://untref.edu.ar/mundountref/eduntref-feria-del-libro-45-edicion"
SCC 327,"https://untref.edu.ar/mundountref/novedades-2023-charlas-informativas-para-carreras-de-posgrado, https://untref.edu.ar/posgrado/especializacion-en-politicas-sociales-urbanas"
SCC 328,"https://untref.edu.ar/mundountref/tags/publicaciones, https://untref.edu.ar/mundountref/eduntref-feria-libro-2018, https://untref.edu.ar/mundountref/untref-sonoro-recibe-dos-nominaciones-para-los-premios-gardel"
SCC 329,https://untref.edu.ar/mundountref/tags/estadistica-2
SCC 330,"https://untref.edu.ar/icaatom/index.php/archivo-sibuntref;isdiah, https://untref.edu.ar/index.php/"
SCC 331,"https://untref.edu.ar/muntref/es/muestras/soberania-de-la-percepcion-2, https://untref.edu.ar/muntref/es/muestras/soberania-de-la-percepcion/dsc_0054-2/"
SCC 332,https://untref.edu.ar/mundountref/presentacion-libro-materia-americana-mayo
SCC 333,"https://untref.edu.ar/mundountref/tags/escritura-creativa, https://untref.edu.ar/mundountref/libros-publicados-estudiantes-escritura-creativa, https://untref.edu.ar/mundountref/diplomado-escritura-creativa-estudiantes-interior"
SCC 334,https://untref.edu.ar/mundountref/como-prevenir-ciberdelitos
SCC 335,https://untref.edu.ar/untref37/index.php/mundountref/ya-funciona-en-el-chalten-el-aerogenerador-creado-por-investigadores-de-la-untref
SCC 336,https://untref.edu.ar/events/iv-foro-internacional-narrativas-en-las-fronteras-los-nuevos-viejos-relatos-de-la-actualidad-2
SCC 337,https://untref.edu.ar/mundountref/un3-premios
SCC 338,https://untref.edu.ar/muntref/es/noticias/colaboracion-con-el-museo-italiano-de-melbourne/
SCC 339,https://untref.edu.ar/mundountref/jornada-de-promocion-de-la-salud
SCC 340,"https://untref.edu.ar/muntref/en/exhibition-files/a2014, https://untref.edu.ar/muntref/en/muestras/estrategias-de-la-mirada-annemarie-heinrich-inedita-2/"
SCC 341,"https://untref.edu.ar/mundountref/giselle-soler-medalla-plata-lima-2019, https://untref.edu.ar/mundountref/estrenos-nominaciones-internacional-un3"
SCC 342,"https://untref.edu.ar/mundountref/ciclo-lectivo-en-modalidad-virtual-nuevas-carreras-protocolos-seguridad-covid, https://untref.edu.ar/mundountref/oiant-en-europa"
SCC 343,"https://untref.edu.ar/sitios/ciea/, https://untref.edu.ar/sitios/ciea/institucional"
SCC 344,https://untref.edu.ar/muntref/murmullo-ciborg-laura-perez-3/
